Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 31	10	24	64	69	24	14	
		Student 32	33	72	45	60	23	71	
		Student 33	27	47	34	40	23	41	
		Student 34	28	38	61	99	97	60	
		Student 35	94	25	32	39	86	30	
		Student 36	97	97	31	32	48	20	
		Student 37	75	98	34	70	88	55	
		Student 38	70	32	40	61	14	69	
		Student 39	94	59	54	91	69	76	
		Student 40	54	75	34	35	31	66	
		Student 41	47	31	59	73	90	82	
		Student 42	31	52	80	64	14	78	
		Student 43	90	75	30	19	17	61	
		Student 44	93	30	97	25	28	53	
		Student 45	67	52	94	13	49	31	
		Student 46	41	85	55	25	89	37	
		Student 47	37	56	21	51	78	40	
		Student 48	66	92	81	88	94	70	
		Student 49	98	27	76	70	71	51	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	36	34	35	24	72	51	
		Student 1	61	44	84	10	13	48	
		Student 2	11	34	47	18	77	57	
		Student 3	41	81	27	50	96	97	
		Student 4	41	30	70	17	23	44	
		Student 5	98	72	86	11	40	16	
		Student 6	25	70	49	91	30	14	
		Student 7	53	70	71	59	13	17	
		Student 8	21	29	40	75	36	11	
		Student 9	64	48	47	32	99	80	
		Student 10	17	39	41	16	34	60	
		Student 11	75	95	83	78	15	76	
		Student 12	10	18	52	84	59	10	
		Student 13	81	26	91	30	82	93	
		Student 14	14	20	52	31	76	78	
		Student 15	80	61	77	71	74	11	
		Student 16	52	95	53	62	78	89	
		Student 17	33	68	32	59	17	87	
		Student 18	75	29	15	12	62	26	
		Student 19	31	23	98	57	66	60	
		Student 20	98	36	47	90	70	63	
		Student 21	82	86	28	88	46	60	
		Student 22	17	53	13	14	80	63	
		Student 23	86	14	19	76	75	89	
		Student 24	55	33	98	90	28	39	
		Student 25	55	36	40	38	25	93	
		Student 26	94	46	94	99	89	61	
		Student 27	21	71	40	77	50	10	
		Student 28	65	50	45	74	43	45	
		Student 29	45	56	82	57	38	27	
		Student 30	11	93	74	94	86	39	
		Student 31	73	25	70	50	16	67	
		Student 32	20	96	18	62	45	60	
		Student 33	68	41	90	45	12	80	
		Student 34	50	70	38	14	24	49	
		Student 35	38	17	87	19	94	96	
		Student 36	83	45	51	27	38	98	
		Student 37	79	56	68	46	42	43	
		Student 38	87	97	38	62	30	36	
		Student 39	12	65	73	75	28	82	
		Student 40	82	24	86	91	36	13	
		Student 41	78	61	96	47	84	30	
		Student 42	38	68	73	24	52	13	
		Student 43	42	42	43	82	69	84	
		Student 44	94	29	35	92	73	21	
		Student 45	76	72	80	26	82	93	
		Student 46	25	22	96	83	83	27	
		Student 47	33	84	83	99	98	74	
		Student 48	93	90	44	47	25	42	
		Student 49	65	24	31	73	66	62	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	36	86	41	88	45	83	
		Student 1	15	89	78	81	73	31	
		Student 2	74	57	21	37	98	96	
		Student 3	77	91	31	80	57	80	
		Student 4	49	75	94	85	19	33	
		Student 5	57	89	58	55	87	67	
		Student 6	25	64	98	23	91	33	
		Student 7	54	87	55	25	63	25	
		Student 8	38	28	58	95	89	54	
		Student 9	57	17	24	26	10	85	
		Student 10	27	30	84	44	56	51	
		Student 11	20	55	31	82	63	25	
		Student 12	88	83	66	83	95	28	
		Student 13	15	10	85	90	83	51	
		Student 14	48	85	29	17	87	75	
		Student 15	27	39	36	19	54	87	
		Student 16	79	45	33	40	32	64	
		Student 17	15	28	44	18	91	33	
		Student 18	82	31	20	25	52	75	
		Student 19	38	70	66	24	43	25	
		Student 20	79	89	97	68	56	76	
		Student 21	21	85	95	17	88	31	
		Student 22	98	88	55	91	95	83	
		Student 23	43	48	49	59	17	68	
		Student 24	50	19	42	93	42	16	
		Student 25	66	96	30	59	11	30	
		Student 26	17	41	72	15	89	47	
		Student 27	73	98	15	41	33	88	
		Student 28	96	71	76	91	85	11	
		Student 29	62	56	73	60	71	20	
		Student 30	27	69	65	34	66	34	
		Student 31	42	20	86	72	67	99	
		Student 32	23	89	40	66	45	73	
		Student 33	27	98	62	78	10	71	
		Student 34	50	36	69	10	76	16	
		Student 35	27	40	19	44	76	33	
		Student 36	54	32	58	68	43	44	
		Student 37	76	81	80	93	61	55	
		Student 38	60	32	77	20	21	75	
		Student 39	14	33	78	11	96	63	
		Student 40	56	18	32	79	64	79	
		Student 41	84	32	28	55	77	93	
		Student 42	28	72	82	25	32	82	
		Student 43	31	23	48	34	79	22	
		Student 44	19	25	54	90	10	91	
		Student 45	85	76	98	44	95	52	
		Student 46	39	34	52	60	55	88	
		Student 47	37	11	74	46	49	93	
		Student 48	27	81	38	10	83	72	
		Student 49	19	10	49	90	23	97	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	11	34	59	78	29	93	
		Student 1	98	83	99	38	79	49	
		Student 2	89	63	85	38	60	15	
		Student 3	80	14	20	44	56	15	
		Student 4	83	33	58	25	69	37	
		Student 5	55	49	22	48	69	81	
		Student 6	37	98	26	33	45	32	
		Student 7	67	63	15	45	48	66	
		Student 8	82	48	35	61	10	28	
		Student 9	41	20	60	16	19	97	
		Student 10	88	40	25	39	93	69	
		Student 11	15	84	71	69	56	97	
		Student 12	38	61	24	45	45	47	
		Student 13	81	88	30	93	49	85	
		Student 14	80	57	35	59	51	25	
		Student 15	31	82	19	31	46	85	
		Student 16	38	96	76	12	55	41	
		Student 17	28	46	68	43	79	48	
		Student 18	81	18	38	49	43	36	
		Student 19	97	16	85	51	67	24	
		Student 20	10	10	11	59	81	96	
		Student 21	46	69	90	34	70	22	
		Student 22	17	96	37	60	33	94	
		Student 23	45	70	44	87	56	41	
		Student 24	58	45	19	40	63	38	
		Student 25	75	21	28	90	18	94	
		Student 26	36	43	19	48	77	87	
		Student 27	90	24	85	72	54	18	
		Student 28	11	92	21	13	29	77	
		Student 29	71	30	47	49	11	22	
		Student 30	69	83	41	61	95	30	
		Student 31	58	68	95	94	46	49	
		Student 32	49	72	16	96	54	91	
		Student 33	49	14	24	66	29	54	
		Student 34	93	40	48	21	52	58	
		Student 35	86	43	83	24	31	16	
		Student 36	59	21	85	83	61	70	
		Student 37	29	55	93	30	49	98	
		Student 38	12	23	64	84	79	43	
		Student 39	45	17	52	66	67	20	
		Student 40	94	44	14	45	56	52	
		Student 41	88	50	79	89	62	28	
		Student 42	85	17	51	36	17	52	
		Student 43	11	51	29	56	15	14	
		Student 44	43	99	92	24	51	24	
		Student 45	31	88	10	84	15	23	
		Student 46	51	59	23	63	42	80	
		Student 47	76	78	55	56	42	27	
		Student 48	40	32	90	11	17	42	
		Student 49	52	86	17	72	89	19	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	72	38	42	58	46	97	
		Student 1	35	23	94	49	32	93	
		Student 2	65	57	31	18	58	31	
		Student 3	22	50	63	16	78	15	
		Student 4	84	23	56	33	27	65	
		Student 5	30	19	81	10	10	77	
		Student 6	66	60	26	38	34	77	
		Student 7	58	43	12	20	72	62	
		Student 8	73	25	36	57	76	77	
		Student 9	17	59	10	94	50	67	
		Student 10	70	57	80	67	20	99	
		Student 11	37	34	72	40	93	48	
		Student 12	67	68	46	26	74	19	
		Student 13	43	36	27	88	32	48	
		Student 14	68	59	74	20	26	84	
		Student 15	13	86	48	57	17	21	
		Student 16	28	91	82	36	85	37	
		Student 17	32	50	88	28	18	23	
		Student 18	28	90	76	77	14	75	
		Student 19	45	80	52	32	66	18	
		Student 20	70	73	56	72	19	34	
		Student 21	94	51	30	10	66	40	
		Student 22	73	60	88	11	27	12	
		Student 23	27	29	18	58	14	11	
		Student 24	98	84	65	27	74	32	
		Student 25	99	43	79	91	35	53	
		Student 26	70	43	40	21	65	61	
		Student 27	43	12	79	83	21	69	
		Student 28	91	95	87	79	98	93	
		Student 29	75	59	76	77	62	98	
		Student 30	39	25	63	20	26	42	
		Student 31	85	23	32	36	30	76	
		Student 32	63	99	65	20	15	71	
		Student 33	97	70	60	84	60	18	
		Student 34	67	17	14	67	67	57	
		Student 35	48	98	50	70	35	61	
		Student 36	23	98	29	45	89	64	
		Student 37	36	58	11	16	26	71	
		Student 38	90	46	66	48	79	91	
		Student 39	42	90	19	13	68	45	
		Student 40	30	34	41	52	15	97	
		Student 41	78	62	29	11	97	48	
		Student 42	94	85	23	16	83	63	
		Student 43	70	29	84	96	55	25	
		Student 44	35	34	23	56	46	12	
		Student 45	62	75	98	35	69	45	
		Student 46	68	79	71	49	72	75	
		Student 47	37	41	59	16	75	18	
		Student 48	63	93	44	27	20	69	
		Student 49	52	82	84	85	19	62	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	62	86	66	36	90	53	
		Student 1	65	32	90	40	36	74	
		Student 2	40	27	90	56	43	67	
		Student 3	66	67	29	16	31	86	
		Student 4	68	41	93	29	82	81	
		Student 5	51	64	75	26	35	56	
		Student 6	97	80	36	10	96	11	
		Student 7	19	93	34	17	86	22	
		Student 8	38	39	54	17	82	43	
		Student 9	19	96	72	77	13	16	
		Student 10	56	60	16	41	64	62	
		Student 11	30	55	51	30	62	97	
		Student 12	49	33	12	29	79	20	
		Student 13	67	73	45	90	52	66	
		Student 14	20	78	81	33	84	82	
		Student 15	98	25	68	26	40	96	
		Student 16	14	84	72	14	68	56	
		Student 17	66	45	44	83	58	59	
		Student 18	57	18	30	10	95	44	
		Student 19	76	81	68	12	28	41	
		Student 20	86	48	57	99	96	80	
		Student 21	10	14	93	80	18	69	
		Student 22	27	18	61	25	91	18	
		Student 23	23	51	46	12	27	23	
		Student 24	36	79	80	58	29	87	
		Student 25	41	49	17	90	54	50	
		Student 26	19	18	86	29	23	88	
		Student 27	22	94	69	32	88	73	
		Student 28	13	86	65	40	10	85	
		Student 29	38	54	62	81	24	57	
		Student 30	22	88	86	99	15	72	
		Student 31	30	11	29	92	82	21	
		Student 32	32	40	54	58	29	41	
		Student 33	91	18	92	50	67	22	
		Student 34	29	30	56	38	99	43	
		Student 35	90	71	97	34	80	12	
		Student 36	11	93	39	55	58	64	
		Student 37	92	32	35	25	82	58	
		Student 38	94	90	85	56	82	25	
		Student 39	79	30	41	64	35	95	
		Student 40	33	98	19	50	76	35	
		Student 41	58	44	34	70	86	87	
		Student 42	50	57	91	88	90	19	
		Student 43	51	27	46	57	38	37	
		Student 44	29	12	15	82	41	30	
		Student 45	62	12	38	20	63	58	
		Student 46	28	30	48	26	82	63	
		Student 47	43	38	80	43	79	66	
		Student 48	71	23	84	73	40	76	
		Student 49	70	91	10	47	43	88	
Program 1
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	50	75	88	52	14	56	
		Student 1	65	30	82	29	10	71	
		Student 2	34	49	43	92	70	60	
		Student 3	38	69	38	14	76	17	
		Student 4	10	24	23	84	13	43	
		Student 5	34	35	61	10	67	12	
		Student 6	24	48	29	84	14	90	
		Student 7	40	49	32	51	59	11	
		Student 8	66	42	42	25	42	41	
		Student 9	35	95	79	29	20	21	
		Student 10	31	39	68	50	30	14	
		Student 11	91	89	69	69	46	63	
		Student 12	58	68	45	77	14	54	
		Student 13	57	97	65	70	92	23	
		Student 14	74	27	61	58	93	72	
		Student 15	44	14	81	55	69	87	
		Student 16	76	47	82	15	48	46	
		Student 17	38	60	10	85	49	57	
		Student 18	82	41	18	92	83	94	
		Student 19	87	87	77	23	61	98	
		Student 20	93	66	65	93	50	30	
		Student 21	29	15	38	41	68	93	
		Student 22	13	82	96	17	23	95	
		Student 23	96	38	98	23	66	84	
		Student 24	73	25	59	26	13	84	
		Student 25	80	27	95	98	53	75	
		Student 26	65	32	51	26	35	64	
		Student 27	60	79	79	26	49	94	
		Student 28	29	43	87	60	29	48	
		Student 29	60	65	79	43	39	89	
		Student 30	59	86	34	35	80	97	
		Student 31	71	21	28	15	59	89	
		Student 32	29	67	65	83	80	35	
		Student 33	65	45	25	48	58	10	
		Student 34	36	34	68	69	42	47	
		Student 35	76	46	25	22	68	94	
		Student 36	79	54	69	96	36	81	
		Student 37	19	35	38	88	81	97	
		Student 38	18	85	82	85	93	28	
		Student 39	13	40	57	78	36	63	
		Student 40	21	18	29	54	13	45	
		Student 41	69	23	68	40	28	60	
		Student 42	57	56	88	70	50	70	
		Student 43	78	45	23	11	36	42	
		Student 44	40	88	23	78	89	16	
		Student 45	79	34	24	60	24	93	
		Student 46	10	47	31	95	42	55	
		Student 47	63	28	35	46	58	97	
		Student 48	83	61	77	32	81	43	
		Student 49	12	79	58	78	65	67	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	88	38	36	58	45	10	
		Student 1	60	53	38	93	36	84	
		Student 2	75	43	99	30	87	72	
		Student 3	87	34	86	13	28	99	
		Student 4	51	40	65	68	35	31	
		Student 5	24	55	72	82	50	26	
		Student 6	74	13	83	80	16	17	
		Student 7	40	60	51	72	99	62	
		Student 8	18	15	27	48	94	22	
		Student 9	71	72	75	53	89	10	
		Student 10	25	42	66	54	91	81	
		Student 11	72	23	71	63	79	10	
		Student 12	13	49	47	64	13	18	
		Student 13	85	60	81	34	57	63	
		Student 14	76	38	54	90	56	87	
		Student 15	32	15	77	34	30	45	
		Student 16	50	50	13	74	32	41	
		Student 17	55	96	59	54	89	47	
		Student 18	64	91	64	94	64	46	
		Student 19	13	24	63	64	93	23	
		Student 20	65	82	66	45	51	17	
		Student 21	71	11	66	88	28	51	
		Student 22	63	67	69	84	53	42	
		Student 23	76	20	23	37	26	72	
		Student 24	92	99	46	79	46	97	
		Student 25	58	58	78	84	28	81	
		Student 26	17	74	14	92	64	13	
		Student 27	54	88	94	34	37	47	
		Student 28	14	42	57	41	75	74	
		Student 29	86	47	89	81	43	74	
		Student 30	94	74	47	50	51	78	
		Student 31	39	60	52	67	95	83	
		Student 32	85	99	21	31	36	67	
		Student 33	29	75	99	46	89	86	
		Student 34	76	34	68	38	59	64	
		Student 35	55	28	50	90	85	99	
		Student 36	95	92	51	15	73	59	
		Student 37	10	64	66	74	51	75	
		Student 38	17	61	82	33	39	85	
		Student 39	57	18	72	65	90	94	
		Student 40	12	80	40	39	28	18	
		Student 41	97	76	42	93	83	95	
		Student 42	71	22	75	76	29	66	
		Student 43	19	22	84	70	35	21	
		Student 44	73	48	85	77	65	89	
		Student 45	69	48	57	41	14	38	
		Student 46	16	36	79	64	88	68	
		Student 47	65	63	69	53	17	38	
		Student 48	40	56	55	22	22	24	
		Student 49	60	49	98	65	30	45	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	82	22	83	83	97	48	
		Student 1	21	96	63	32	57	27	
		Student 2	81	97	18	49	52	70	
		Student 3	71	46	65	89	23	46	
		Student 4	92	38	44	99	11	30	
		Student 5	42	30	99	68	87	75	
		Student 6	72	32	81	18	31	59	
		Student 7	87	88	10	32	67	39	
		Student 8	54	98	61	34	22	84	
		Student 9	11	44	21	55	55	65	
		Student 10	61	18	14	21	45	44	
		Student 11	30	82	69	72	66	84	
		Student 12	66	29	81	32	49	39	
		Student 13	11	35	23	90	40	43	
		Student 14	59	96	21	84	73	97	
		Student 15	62	34	76	78	55	62	
		Student 16	14	24	81	25	65	47	
		Student 17	25	39	85	17	11	76	
		Student 18	59	41	93	26	51	85	
		Student 19	49	46	84	79	17	32	
		Student 20	21	54	47	75	58	49	
		Student 21	84	10	59	48	50	31	
		Student 22	68	97	93	63	73	87	
		Student 23	21	28	94	68	17	20	
		Student 24	97	45	32	95	62	30	
		Student 25	17	54	41	45	26	38	
		Student 26	92	13	94	92	93	93	
		Student 27	40	15	22	43	18	21	
		Student 28	36	95	22	65	42	99	
		Student 29	31	76	90	61	99	23	
		Student 30	77	75	91	28	97	54	
		Student 31	28	62	13	85	31	41	
		Student 32	87	41	91	59	84	22	
		Student 33	11	53	66	34	26	70	
		Student 34	28	37	82	46	45	52	
		Student 35	16	91	97	24	14	48	
		Student 36	89	44	96	37	56	98	
		Student 37	91	47	87	15	62	95	
		Student 38	98	20	74	94	86	84	
		Student 39	76	46	51	68	73	46	
		Student 40	49	56	44	39	81	56	
		Student 41	66	74	13	62	90	84	
		Student 42	83	98	28	78	53	83	
		Student 43	64	43	63	36	48	95	
		Student 44	60	79	22	16	75	79	
		Student 45	88	85	85	40	69	50	
		Student 46	62	70	68	92	38	73	
		Student 47	52	28	50	50	46	90	
		Student 48	28	30	19	42	55	94	
		Student 49	10	31	70	22	42	80	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	86	12	50	68	36	89	
		Student 1	45	53	77	26	64	89	
		Student 2	95	85	33	78	24	90	
		Student 3	60	87	21	89	33	53	
		Student 4	51	35	14	99	76	78	
		Student 5	35	99	56	13	40	90	
		Student 6	21	70	82	41	20	84	
		Student 7	69	43	55	39	77	78	
		Student 8	13	81	54	32	67	75	
		Student 9	75	55	86	57	35	49	
		Student 10	30	48	77	97	38	39	
		Student 11	37	99	12	56	86	60	
		Student 12	78	38	64	33	32	45	
		Student 13	83	46	12	62	80	65	
		Student 14	32	31	39	98	22	57	
		Student 15	89	62	46	98	93	40	
		Student 16	63	22	43	62	54	94	
		Student 17	12	46	31	24	76	54	
		Student 18	79	36	85	85	63	19	
		Student 19	17	61	45	41	68	69	
		Student 20	98	22	33	24	89	57	
		Student 21	22	55	85	57	47	38	
		Student 22	15	85	21	58	51	49	
		Student 23	63	36	55	51	70	81	
		Student 24	17	46	48	98	87	26	
		Student 25	48	90	87	41	66	91	
		Student 26	93	51	87	19	68	43	
		Student 27	57	20	87	75	78	42	
		Student 28	54	24	78	72	63	16	
		Student 29	44	46	65	31	21	62	
		Student 30	57	43	27	64	63	64	
		Student 31	96	30	75	83	48	20	
		Student 32	67	19	24	72	73	78	
		Student 33	56	50	27	17	33	47	
		Student 34	63	72	89	91	45	57	
		Student 35	88	98	91	38	15	25	
		Student 36	27	97	48	36	61	76	
		Student 37	70	57	91	93	47	18	
		Student 38	82	82	56	19	23	55	
		Student 39	76	58	60	85	94	97	
		Student 40	16	67	36	79	81	66	
		Student 41	40	41	72	59	95	88	
		Student 42	85	92	21	86	72	93	
		Student 43	81	90	69	79	42	26	
		Student 44	96	96	61	40	50	16	
		Student 45	78	75	29	59	91	69	
		Student 46	28	55	57	24	69	79	
		Student 47	65	95	65	72	37	53	
		Student 48	52	95	27	57	25	91	
		Student 49	94	37	98	69	90	45	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	85	36	60	66	46	34	
		Student 1	21	94	49	80	78	11	
		Student 2	96	33	27	98	94	16	
		Student 3	48	13	25	17	86	17	
		Student 4	19	65	14	34	66	89	
		Student 5	85	17	38	86	86	75	
		Student 6	28	63	91	82	38	95	
		Student 7	95	95	96	48	96	79	
		Student 8	90	12	16	30	53	16	
		Student 9	51	12	67	60	16	25	
		Student 10	84	81	18	85	69	24	
		Student 11	57	57	41	92	52	26	
		Student 12	51	35	23	72	38	77	
		Student 13	23	50	55	23	72	81	
		Student 14	37	66	14	55	73	38	
		Student 15	85	92	15	97	40	77	
		Student 16	95	29	57	64	68	62	
		Student 17	98	29	78	37	52	42	
		Student 18	32	23	54	63	37	77	
		Student 19	27	29	68	51	15	86	
		Student 20	81	86	23	94	80	59	
		Student 21	93	16	52	96	92	12	
		Student 22	27	41	39	11	15	15	
		Student 23	77	22	92	32	70	70	
		Student 24	62	46	40	49	62	21	
		Student 25	75	52	41	27	66	23	
		Student 26	44	30	18	64	43	83	
		Student 27	49	59	93	75	55	82	
		Student 28	62	81	74	94	75	42	
		Student 29	70	52	50	32	38	97	
		Student 30	73	94	28	99	18	74	
		Student 31	96	67	53	21	87	71	
		Student 32	58	52	51	50	83	82	
		Student 33	13	49	73	36	89	62	
		Student 34	36	39	31	91	69	90	
		Student 35	96	71	74	31	19	39	
		Student 36	14	47	38	14	60	64	
		Student 37	67	19	78	91	37	53	
		Student 38	31	78	60	76	55	50	
		Student 39	97	68	13	75	99	76	
		Student 40	22	67	17	37	24	44	
		Student 41	19	43	57	58	97	78	
		Student 42	99	60	68	96	16	37	
		Student 43	40	60	63	15	98	23	
		Student 44	57	23	84	69	86	40	
		Student 45	43	56	19	40	89	49	
		Student 46	77	31	75	17	87	82	
		Student 47	23	58	64	60	88	59	
		Student 48	71	39	10	33	64	26	
		Student 49	80	31	42	14	41	24	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	60	76	28	72	26	98	
		Student 1	85	49	58	60	47	92	
		Student 2	87	89	81	49	75	18	
		Student 3	55	68	88	91	50	91	
		Student 4	15	38	31	50	49	62	
		Student 5	66	81	49	75	45	95	
		Student 6	58	87	10	27	82	62	
		Student 7	24	16	26	25	72	20	
		Student 8	56	38	54	39	12	69	
		Student 9	19	51	84	57	92	88	
		Student 10	54	29	66	99	68	60	
		Student 11	12	22	66	46	53	52	
		Student 12	88	36	22	52	24	80	
		Student 13	50	74	99	93	19	43	
		Student 14	54	90	99	16	72	59	
		Student 15	75	23	13	93	89	61	
		Student 16	34	85	53	29	89	98	
		Student 17	94	47	65	81	82	95	
		Student 18	21	27	54	63	91	42	
		Student 19	99	23	78	42	60	41	
		Student 20	18	76	64	40	37	97	
		Student 21	25	32	26	31	22	60	
		Student 22	45	40	79	43	55	23	
		Student 23	43	97	92	94	88	58	
		Student 24	12	96	46	64	65	90	
		Student 25	40	83	91	86	20	51	
		Student 26	86	32	52	35	61	33	
		Student 27	43	88	66	78	38	56	
		Student 28	48	27	29	37	62	56	
		Student 29	39	78	94	38	47	56	
		Student 30	41	79	36	59	31	27	
		Student 31	13	69	10	26	60	24	
		Student 32	31	92	36	80	63	91	
		Student 33	62	51	68	19	50	79	
		Student 34	47	19	41	83	36	17	
		Student 35	92	19	65	73	96	35	
		Student 36	37	68	99	65	48	72	
		Student 37	25	80	72	88	31	53	
		Student 38	55	58	94	34	85	24	
		Student 39	79	83	13	85	85	10	
		Student 40	86	16	94	23	59	97	
		Student 41	12	89	94	20	96	34	
		Student 42	29	50	72	44	28	71	
		Student 43	38	44	46	54	20	54	
		Student 44	83	76	66	86	57	55	
		Student 45	79	57	74	74	26	83	
		Student 46	41	79	72	69	90	66	
		Student 47	27	66	94	30	75	95	
		Student 48	91	97	39	60	95	37	
		Student 49	34	63	16	70	62	76	
	Semester 6
