Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 22	54	45	47	33	52	79	
		Student 23	60	32	24	20	36	69	
		Student 24	19	28	46	22	85	23	
		Student 25	50	41	88	17	39	50	
		Student 26	25	82	51	97	48	66	
		Student 27	77	16	74	49	61	22	
		Student 28	35	61	68	76	25	94	
		Student 29	11	65	61	81	49	55	
		Student 30	81	14	82	16	18	13	
		Student 31	45	72	56	31	48	58	
		Student 32	59	36	71	91	36	64	
		Student 33	47	18	11	46	14	45	
		Student 34	51	43	60	62	95	33	
		Student 35	73	18	83	99	34	48	
		Student 36	30	92	59	56	12	28	
		Student 37	95	14	76	38	53	57	
		Student 38	75	91	51	82	23	22	
		Student 39	15	41	77	89	26	37	
		Student 40	84	89	46	88	46	66	
		Student 41	20	88	83	85	68	71	
		Student 42	77	95	77	46	23	68	
		Student 43	62	60	85	31	31	36	
		Student 44	71	28	53	65	78	90	
		Student 45	56	70	79	24	53	92	
		Student 46	63	22	28	99	46	61	
		Student 47	32	84	42	86	63	23	
		Student 48	21	59	24	69	56	60	
		Student 49	10	27	75	89	48	45	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	43	29	23	85	72	27	
		Student 1	41	29	13	73	43	82	
		Student 2	96	34	41	32	22	66	
		Student 3	11	47	20	85	16	37	
		Student 4	74	85	14	44	76	90	
		Student 5	36	51	64	21	12	16	
		Student 6	78	71	57	11	29	95	
		Student 7	69	86	54	66	70	77	
		Student 8	87	73	61	29	59	99	
		Student 9	44	91	59	27	27	89	
		Student 10	36	92	46	57	91	48	
		Student 11	58	14	43	74	19	50	
		Student 12	79	46	96	89	93	86	
		Student 13	51	14	53	34	67	36	
		Student 14	72	23	76	18	34	27	
		Student 15	14	53	30	19	11	61	
		Student 16	13	44	31	33	31	24	
		Student 17	19	45	70	21	75	77	
		Student 18	18	64	40	49	58	67	
		Student 19	82	36	12	54	17	28	
		Student 20	57	55	63	85	67	15	
		Student 21	68	30	37	18	57	85	
		Student 22	12	69	87	96	47	56	
		Student 23	73	64	78	60	68	22	
		Student 24	57	30	76	73	70	91	
		Student 25	90	85	87	85	19	78	
		Student 26	64	67	61	42	88	14	
		Student 27	28	20	26	18	24	72	
		Student 28	94	86	93	82	29	62	
		Student 29	33	58	59	86	40	59	
		Student 30	80	59	91	19	52	33	
		Student 31	21	95	90	54	36	74	
		Student 32	93	75	89	51	73	62	
		Student 33	62	42	39	90	39	69	
		Student 34	39	72	38	16	19	81	
		Student 35	23	18	92	84	55	13	
		Student 36	68	99	98	20	87	18	
		Student 37	65	55	21	65	59	17	
		Student 38	26	57	41	62	51	74	
		Student 39	22	57	51	37	59	49	
		Student 40	57	61	84	87	31	36	
		Student 41	53	60	84	37	85	15	
		Student 42	47	35	42	37	95	22	
		Student 43	75	99	56	93	79	27	
		Student 44	80	82	57	31	78	58	
		Student 45	77	33	93	40	99	34	
		Student 46	97	18	39	22	51	14	
		Student 47	93	56	78	43	90	41	
		Student 48	54	92	84	13	37	63	
		Student 49	61	33	57	18	75	94	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	83	38	67	16	22	24	
		Student 1	86	74	36	15	74	38	
		Student 2	45	64	54	71	13	89	
		Student 3	56	34	34	17	37	43	
		Student 4	51	64	19	36	66	40	
		Student 5	22	47	20	70	64	30	
		Student 6	52	52	63	27	16	66	
		Student 7	45	66	30	63	95	30	
		Student 8	87	67	50	88	66	48	
		Student 9	85	43	55	86	56	17	
		Student 10	76	51	33	77	23	26	
		Student 11	25	98	92	84	92	38	
		Student 12	92	98	60	99	23	13	
		Student 13	26	42	78	76	20	66	
		Student 14	73	59	27	63	22	56	
		Student 15	83	27	25	95	99	85	
		Student 16	54	79	94	93	74	70	
		Student 17	50	12	21	25	83	84	
		Student 18	14	78	46	40	17	11	
		Student 19	33	52	75	13	64	10	
		Student 20	27	34	81	84	30	69	
		Student 21	99	46	13	38	52	99	
		Student 22	35	70	71	58	90	21	
		Student 23	83	59	19	51	56	51	
		Student 24	14	25	71	41	57	85	
		Student 25	47	24	33	81	43	40	
		Student 26	73	54	71	64	90	15	
		Student 27	86	80	98	42	23	34	
		Student 28	94	27	94	25	23	67	
		Student 29	63	35	88	89	49	96	
		Student 30	97	94	63	72	35	12	
		Student 31	88	24	44	59	62	14	
		Student 32	71	80	98	45	67	58	
		Student 33	60	76	27	62	14	25	
		Student 34	63	92	11	42	23	27	
		Student 35	21	76	29	85	41	60	
		Student 36	37	14	86	85	79	37	
		Student 37	68	44	23	48	35	82	
		Student 38	91	45	17	53	36	14	
		Student 39	17	61	19	44	74	60	
		Student 40	35	22	92	35	43	52	
		Student 41	42	82	99	67	17	31	
		Student 42	39	13	41	52	45	23	
		Student 43	48	86	45	66	94	72	
		Student 44	60	69	76	43	24	45	
		Student 45	28	69	71	87	28	91	
		Student 46	83	78	88	61	22	30	
		Student 47	35	72	81	97	51	97	
		Student 48	53	79	90	32	35	14	
		Student 49	90	39	99	96	69	94	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	18	36	99	57	82	98	
		Student 1	48	11	64	96	24	32	
		Student 2	67	56	22	37	20	55	
		Student 3	40	40	78	26	34	25	
		Student 4	83	82	22	30	30	42	
		Student 5	33	84	31	86	45	27	
		Student 6	13	76	36	15	65	78	
		Student 7	54	81	19	86	86	37	
		Student 8	58	89	76	53	60	23	
		Student 9	19	56	11	17	65	85	
		Student 10	73	54	86	43	83	19	
		Student 11	62	10	85	86	38	81	
		Student 12	98	76	52	39	31	89	
		Student 13	18	75	41	11	48	21	
		Student 14	26	46	36	95	95	65	
		Student 15	73	98	25	57	66	26	
		Student 16	28	93	60	15	17	77	
		Student 17	50	49	21	19	52	88	
		Student 18	42	81	24	51	16	77	
		Student 19	89	99	93	43	91	90	
		Student 20	77	67	52	16	78	59	
		Student 21	39	57	93	97	57	73	
		Student 22	11	51	12	76	64	82	
		Student 23	93	42	30	49	67	96	
		Student 24	17	88	59	28	30	35	
		Student 25	95	67	70	48	12	62	
		Student 26	80	64	45	75	22	62	
		Student 27	32	31	13	89	54	31	
		Student 28	21	59	48	99	48	38	
		Student 29	43	84	51	46	73	74	
		Student 30	27	94	42	87	85	35	
		Student 31	63	54	67	11	20	98	
		Student 32	63	45	43	33	75	39	
		Student 33	72	82	80	12	32	60	
		Student 34	36	66	39	48	56	51	
		Student 35	45	52	16	89	13	72	
		Student 36	14	36	49	94	96	38	
		Student 37	62	11	73	99	77	34	
		Student 38	90	97	58	22	76	70	
		Student 39	38	20	60	48	73	73	
		Student 40	69	72	96	99	91	19	
		Student 41	23	98	42	51	11	80	
		Student 42	59	12	53	37	92	73	
		Student 43	49	27	29	63	10	37	
		Student 44	31	97	68	65	63	15	
		Student 45	53	76	67	76	17	58	
		Student 46	81	78	35	34	63	51	
		Student 47	12	50	36	98	54	98	
		Student 48	10	88	86	20	33	18	
		Student 49	94	34	27	44	39	79	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	25	95	69	25	26	52	
		Student 1	86	85	67	86	13	86	
		Student 2	38	93	75	87	49	74	
		Student 3	26	21	65	40	85	63	
		Student 4	88	73	60	65	64	80	
		Student 5	41	93	74	53	35	11	
		Student 6	93	44	45	76	57	15	
		Student 7	35	52	26	26	24	69	
		Student 8	75	72	96	68	49	92	
		Student 9	23	82	21	52	18	16	
		Student 10	46	40	35	54	70	79	
		Student 11	47	90	71	88	23	93	
		Student 12	55	89	54	89	16	60	
		Student 13	84	68	72	40	22	86	
		Student 14	52	77	51	84	74	60	
		Student 15	83	16	44	16	16	89	
		Student 16	86	85	80	36	22	30	
		Student 17	17	33	68	10	15	95	
		Student 18	45	75	86	71	49	90	
		Student 19	26	61	70	13	71	50	
		Student 20	61	26	66	47	70	47	
		Student 21	15	85	10	54	42	27	
		Student 22	51	35	77	85	71	20	
		Student 23	93	22	41	11	75	39	
		Student 24	94	24	73	35	16	58	
		Student 25	61	75	58	97	98	92	
		Student 26	14	61	93	90	91	11	
		Student 27	55	90	51	64	94	71	
		Student 28	21	61	62	52	74	51	
		Student 29	83	79	23	13	87	70	
		Student 30	41	87	59	59	37	18	
		Student 31	74	99	27	30	41	34	
		Student 32	68	96	45	43	89	60	
		Student 33	25	72	54	64	30	14	
		Student 34	40	35	54	86	32	38	
		Student 35	91	37	66	85	97	35	
		Student 36	89	32	85	43	73	52	
		Student 37	30	49	57	92	47	15	
		Student 38	73	84	26	88	19	12	
		Student 39	36	79	42	46	14	33	
		Student 40	12	66	36	76	57	66	
		Student 41	15	59	44	99	74	91	
		Student 42	38	49	53	41	21	66	
		Student 43	38	39	99	80	30	19	
		Student 44	10	94	24	66	82	56	
		Student 45	60	65	94	93	12	37	
		Student 46	76	99	86	32	53	49	
		Student 47	89	19	48	30	58	62	
		Student 48	96	84	49	85	74	29	
		Student 49	76	79	72	11	58	73	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	62	85	91	15	98	55	
		Student 1	45	90	27	13	75	55	
		Student 2	31	64	82	20	14	27	
		Student 3	34	36	15	53	70	84	
		Student 4	22	73	21	84	54	57	
		Student 5	27	67	72	10	21	62	
		Student 6	47	93	75	57	59	90	
		Student 7	70	52	22	17	39	58	
		Student 8	45	90	71	44	12	19	
		Student 9	65	94	26	24	64	43	
		Student 10	54	24	76	61	63	91	
		Student 11	78	11	53	10	12	73	
		Student 12	11	89	77	79	79	74	
		Student 13	55	90	60	47	88	53	
		Student 14	66	13	57	86	85	52	
		Student 15	47	56	81	82	24	13	
		Student 16	27	15	49	81	42	84	
		Student 17	12	19	32	91	87	24	
		Student 18	19	46	50	92	77	30	
		Student 19	70	27	23	33	70	82	
		Student 20	69	63	27	68	79	13	
		Student 21	68	34	43	62	71	15	
		Student 22	64	57	98	64	70	57	
		Student 23	72	85	10	72	89	18	
		Student 24	62	95	64	12	60	29	
		Student 25	27	67	36	61	80	18	
		Student 26	10	92	95	32	81	58	
		Student 27	33	32	14	28	75	21	
		Student 28	15	71	99	38	62	82	
		Student 29	74	18	63	92	56	38	
		Student 30	10	77	94	47	97	73	
		Student 31	19	41	30	96	82	79	
		Student 32	82	83	58	86	72	31	
		Student 33	38	30	84	12	81	79	
		Student 34	23	91	62	92	16	99	
		Student 35	16	17	88	92	29	97	
		Student 36	62	49	17	55	96	28	
		Student 37	93	27	23	36	93	65	
		Student 38	33	85	46	68	43	64	
		Student 39	76	61	91	93	96	35	
		Student 40	61	28	68	95	59	41	
		Student 41	69	82	30	83	89	94	
		Student 42	93	60	70	46	39	26	
		Student 43	19	40	47	21	36	88	
		Student 44	91	20	34	52	62	14	
		Student 45	75	74	58	85	28	33	
		Student 46	74	47	70	68	88	40	
		Student 47	53	10	13	70	86	93	
		Student 48	91	82	42	17	31	16	
		Student 49	61	32	31	15	66	69	
Program 1
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	60	89	55	58	78	96	
		Student 1	74	25	81	83	44	37	
		Student 2	56	54	79	44	90	26	
		Student 3	79	84	21	73	14	55	
		Student 4	32	54	87	30	55	28	
		Student 5	86	97	54	10	35	43	
		Student 6	23	21	95	72	80	42	
		Student 7	73	24	18	25	12	36	
		Student 8	57	41	53	67	15	94	
		Student 9	72	23	64	30	62	30	
		Student 10	75	74	33	48	90	80	
		Student 11	44	69	68	86	84	23	
		Student 12	51	72	85	97	86	56	
		Student 13	31	37	35	95	13	85	
		Student 14	63	41	49	46	44	78	
		Student 15	29	54	60	33	34	36	
		Student 16	90	96	48	27	23	40	
		Student 17	65	15	89	83	10	42	
		Student 18	60	87	24	18	89	89	
		Student 19	44	12	66	16	60	19	
		Student 20	13	95	64	24	41	75	
		Student 21	59	18	62	50	32	76	
		Student 22	84	34	67	82	49	40	
		Student 23	46	56	85	45	33	21	
		Student 24	47	89	99	88	35	14	
		Student 25	15	46	82	46	61	20	
		Student 26	73	59	52	79	87	21	
		Student 27	97	27	55	95	61	27	
		Student 28	70	66	98	99	62	89	
		Student 29	61	36	28	48	19	22	
		Student 30	86	38	15	41	20	24	
		Student 31	34	18	82	61	77	76	
		Student 32	23	80	53	64	77	77	
		Student 33	36	13	32	24	60	53	
		Student 34	17	35	62	55	32	11	
		Student 35	92	52	60	64	64	77	
		Student 36	42	66	33	66	47	42	
		Student 37	50	11	84	89	44	79	
		Student 38	46	33	91	91	11	66	
		Student 39	13	12	44	85	94	32	
		Student 40	62	59	55	50	51	13	
		Student 41	75	36	36	64	65	65	
		Student 42	12	43	59	55	51	51	
		Student 43	84	97	89	37	30	89	
		Student 44	85	67	84	89	81	13	
		Student 45	17	27	70	51	25	63	
		Student 46	52	89	26	73	47	82	
		Student 47	88	28	56	33	16	62	
		Student 48	45	23	26	54	99	75	
		Student 49	33	96	64	49	23	86	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	20	37	44	76	25	17	
		Student 1	61	57	65	57	13	33	
		Student 2	43	84	83	46	51	41	
		Student 3	72	81	20	31	92	40	
		Student 4	88	87	13	13	15	92	
		Student 5	43	97	30	68	42	88	
		Student 6	13	58	40	71	43	44	
		Student 7	70	73	67	40	71	72	
		Student 8	93	76	75	58	47	14	
		Student 9	89	14	76	42	99	13	
		Student 10	50	97	44	89	95	68	
		Student 11	69	86	94	17	56	97	
		Student 12	35	42	97	68	23	30	
		Student 13	58	91	73	13	29	34	
		Student 14	63	13	33	22	67	90	
		Student 15	72	77	19	28	39	25	
		Student 16	45	11	72	57	18	52	
		Student 17	29	33	39	49	44	57	
		Student 18	76	92	82	14	80	87	
		Student 19	51	27	65	74	43	75	
		Student 20	29	75	29	19	84	65	
		Student 21	40	77	10	41	81	63	
		Student 22	38	84	96	98	50	74	
		Student 23	70	73	97	12	92	90	
		Student 24	74	43	80	31	52	79	
		Student 25	10	39	75	64	56	52	
		Student 26	85	69	65	20	68	86	
		Student 27	10	29	15	60	72	29	
		Student 28	51	28	23	83	60	92	
		Student 29	44	64	74	21	99	12	
		Student 30	24	88	79	26	75	66	
		Student 31	27	53	96	84	47	64	
		Student 32	72	92	12	34	42	91	
		Student 33	85	36	99	87	85	40	
		Student 34	76	71	29	75	64	32	
		Student 35	38	91	85	32	55	27	
		Student 36	24	51	87	91	32	53	
		Student 37	21	84	89	75	86	62	
		Student 38	10	76	46	57	90	52	
		Student 39	49	15	92	47	40	44	
		Student 40	94	84	37	39	38	66	
		Student 41	13	41	32	80	13	51	
		Student 42	10	16	89	59	48	39	
		Student 43	99	75	53	38	60	96	
		Student 44	12	25	29	24	99	86	
		Student 45	48	63	70	28	50	37	
		Student 46	49	30	96	28	19	63	
		Student 47	25	82	40	66	60	10	
		Student 48	51	22	47	60	95	85	
		Student 49	56	59	62	72	88	66	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	83	28	25	99	54	36	
		Student 1	63	91	65	47	79	54	
		Student 2	76	49	61	59	28	33	
		Student 3	68	52	24	83	99	86	
		Student 4	33	91	89	42	41	41	
		Student 5	19	88	78	61	33	16	
		Student 6	26	26	10	21	85	43	
		Student 7	82	12	82	21	92	37	
		Student 8	23	22	37	50	37	16	
		Student 9	94	34	46	55	22	16	
		Student 10	88	87	42	81	23	56	
		Student 11	67	48	92	67	53	22	
		Student 12	30	56	30	19	47	98	
		Student 13	30	78	71	23	41	46	
		Student 14	61	67	88	82	95	62	
		Student 15	68	15	35	97	18	77	
		Student 16	65	74	95	82	81	22	
		Student 17	60	23	60	13	75	53	
		Student 18	10	27	26	58	95	49	
		Student 19	17	32	49	80	84	93	
		Student 20	30	49	91	11	96	28	
		Student 21	54	79	74	34	93	54	
		Student 22	73	59	77	33	76	16	
		Student 23	35	75	82	81	70	19	
		Student 24	29	40	73	78	56	16	
		Student 25	41	66	96	32	95	81	
		Student 26	77	96	22	59	87	92	
		Student 27	92	47	44	90	66	87	
		Student 28	82	69	51	23	38	33	
		Student 29	55	54	30	45	48	27	
		Student 30	67	37	38	31	15	11	
		Student 31	81	64	38	28	20	56	
		Student 32	43	51	76	71	27	32	
		Student 33	81	82	56	23	14	23	
		Student 34	41	57	36	72	44	42	
		Student 35	43	65	19	63	78	96	
		Student 36	64	92	41	99	84	24	
		Student 37	88	40	91	14	77	73	
		Student 38	63	41	76	82	83	42	
		Student 39	45	42	39	46	97	68	
		Student 40	93	13	10	18	38	72	
		Student 41	17	84	59	53	63	15	
		Student 42	81	94	30	87	58	23	
		Student 43	59	11	93	66	65	46	
		Student 44	67	36	32	59	11	43	
		Student 45	78	28	82	32	32	81	
		Student 46	85	98	26	17	21	71	
		Student 47	95	66	84	57	60	45	
		Student 48	53	21	33	80	54	92	
		Student 49	52	24	64	54	45	34	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	16	40	35	23	31	33	
		Student 1	80	89	86	57	12	80	
		Student 2	14	48	43	60	57	58	
		Student 3	48	12	77	88	35	13	
		Student 4	43	94	57	91	84	56	
		Student 5	72	81	10	44	97	10	
		Student 6	42	34	61	99	15	15	
		Student 7	28	53	60	56	33	75	
		Student 8	62	35	33	76	37	71	
		Student 9	97	95	72	78	58	11	
		Student 10	49	92	22	47	34	52	
		Student 11	56	44	68	45	62	77	
		Student 12	42	91	44	81	21	82	
		Student 13	48	13	30	17	11	41	
		Student 14	52	97	11	85	64	27	
		Student 15	36	95	20	97	61	36	
		Student 16	72	28	63	79	17	93	
		Student 17	71	83	30	75	94	68	
		Student 18	18	21	87	65	51	60	
		Student 19	28	91	48	93	88	78	
		Student 20	22	95	91	68	12	23	
		Student 21	96	38	71	32	99	19	
		Student 22	13	23	56	76	29	27	
		Student 23	34	49	30	26	21	80	
		Student 24	15	49	35	80	32	55	
		Student 25	30	67	40	41	92	11	
		Student 26	63	62	46	59	84	89	
		Student 27	72	22	87	46	12	97	
		Student 28	37	43	24	52	48	50	
		Student 29	45	72	68	46	21	59	
		Student 30	10	55	22	45	22	79	
		Student 31	58	23	81	38	58	47	
		Student 32	23	44	47	76	70	31	
		Student 33	92	88	45	79	26	68	
		Student 34	25	26	66	70	43	82	
		Student 35	92	34	11	75	57	81	
		Student 36	51	95	80	78	95	61	
		Student 37	89	35	76	48	20	29	
		Student 38	87	56	83	35	41	35	
		Student 39	71	34	93	90	72	26	
		Student 40	91	81	33	58	17	77	
		Student 41	55	84	57	14	77	84	
		Student 42	82	69	43	27	67	27	
		Student 43	11	15	58	48	93	28	
		Student 44	71	54	75	65	22	76	
		Student 45	21	20	45	54	56	35	
		Student 46	94	94	11	87	56	40	
		Student 47	67	52	35	62	69	39	
		Student 48	43	48	16	96	55	35	
		Student 49	27	74	68	69	50	24	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	24	52	91	34	81	51	
		Student 1	81	97	81	60	35	89	
		Student 2	27	22	71	24	17	26	
		Student 3	22	93	13	44	85	88	
		Student 4	61	72	87	10	91	14	
		Student 5	80	97	29	75	48	82	
		Student 6	80	26	52	33	62	92	
		Student 7	75	53	46	30	98	75	
		Student 8	45	94	89	21	98	97	
		Student 9	69	89	87	73	19	21	
		Student 10	79	96	67	29	74	35	
		Student 11	89	30	82	36	33	19	
		Student 12	94	40	78	12	62	14	
		Student 13	98	47	65	93	76	16	
		Student 14	54	33	31	69	19	76	
		Student 15	43	32	62	12	31	17	
		Student 16	66	28	94	51	49	94	
		Student 17	56	31	69	95	42	56	
		Student 18	80	60	88	85	45	23	
		Student 19	96	14	54	73	89	58	
		Student 20	96	64	93	34	82	45	
		Student 21	67	10	22	23	44	88	
		Student 22	77	89	80	75	90	23	
		Student 23	27	80	39	46	36	11	
		Student 24	43	31	24	82	37	53	
		Student 25	80	73	65	18	14	61	
		Student 26	40	78	18	71	17	65	
		Student 27	59	11	20	56	61	21	
		Student 28	20	31	51	69	72	24	
		Student 29	97	17	27	43	17	52	
		Student 30	78	62	63	32	45	53	
		Student 31	46	32	61	28	32	91	
		Student 32	94	68	93	73	26	98	
		Student 33	86	86	50	80	87	29	
		Student 34	83	29	81	56	92	60	
		Student 35	28	66	79	75	94	94	
		Student 36	26	40	85	90	67	48	
		Student 37	21	69	87	25	59	13	
		Student 38	46	77	94	56	92	28	
		Student 39	31	44	84	72	37	68	
		Student 40	17	46	58	49	88	45	
		Student 41	87	69	22	28	20	74	
		Student 42	57	74	84	53	62	76	
		Student 43	38	81	78	81	23	84	
		Student 44	84	79	52	21	21	19	
		Student 45	53	23	54	37	41	23	
		Student 46	29	67	22	57	88	85	
		Student 47	49	47	61	24	98	55	
		Student 48	24	32	52	13	95	65	
		Student 49	96	25	36	35	21	55	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	15	15	38	57	78	83	
		Student 1	25	88	54	22	86	70	
		Student 2	24	44	22	23	18	94	
		Student 3	71	79	20	21	13	49	
		Student 4	23	68	91	98	74	95	
		Student 5	47	47	41	95	41	42	
		Student 6	70	30	24	81	17	68	
		Student 7	90	86	45	19	22	81	
		Student 8	57	44	40	23	92	53	
		Student 9	43	74	45	73	30	49	
		Student 10	89	27	18	63	30	18	
		Student 11	60	59	30	16	95	55	
		Student 12	75	60	39	31	43	57	
		Student 13	91	91	18	11	46	93	
		Student 14	52	83	54	41	53	99	
		Student 15	65	79	80	17	21	53	
		Student 16	31	46	60	19	21	60	
		Student 17	10	92	88	26	64	77	
		Student 18	90	24	48	14	26	76	
		Student 19	67	10	94	22	84	20	
		Student 20	13	84	88	90	20	23	
		Student 21	30	23	63	70	46	69	
		Student 22	80	82	65	27	73	66	
		Student 23	60	12	84	55	64	24	
		Student 24	93	38	49	89	38	81	
		Student 25	97	75	40	16	85	15	
		Student 26	88	82	71	13	15	73	
		Student 27	44	74	68	21	73	39	
		Student 28	36	92	21	44	34	13	
		Student 29	53	66	85	58	62	97	
		Student 30	43	63	65	27	26	99	
		Student 31	74	31	80	34	44	63	
		Student 32	86	65	99	75	58	29	
		Student 33	87	31	48	88	55	16	
		Student 34	32	64	62	83	42	38	
		Student 35	81	92	39	39	12	66	
		Student 36	90	10	57	45	57	15	
		Student 37	55	21	29	78	88	25	
		Student 38	44	68	77	15	60	75	
		Student 39	14	39	13	18	64	56	
		Student 40	27	58	52	64	19	74	
		Student 41	84	13	65	51	70	51	
		Student 42	11	13	94	23	92	33	
		Student 43	14	32	56	27	19	17	
		Student 44	50	59	19	31	85	40	
		Student 45	38	66	66	88	11	29	
		Student 46	25	71	71	12	92	53	
		Student 47	87	50	54	72	58	68	
		Student 48	98	57	18	46	93	44	
		Student 49	50	21	77	86	21	29	
	Semester 6
